global_document	global_page	document_name	document_number	disease_state
3484766	42	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	4	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	57	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	66	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	47	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	25	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	50	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	32	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	41	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3484766	10	Epcoritamab FAQ (v1.0)	EPCO-AA-00047-FM	DLBCL
3418967	11	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	2	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	6	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	4	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	8	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	12	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	3	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	7	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	5	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	9	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
3418967	1	P_UEGW 2023_RZB-CD SEQUENCE_LB01 (v2.0)	RISN-AA-00453-FM	Crohns Disease (CD)
2686466	46	FutureIBD 2023 Workshop F: Using data to support clinical decision-making in CD  (risa and upa) (v2.0)	RISN-AA-00436-FM	Crohns Disease (CD)
2686466	15	FutureIBD 2023 Workshop F: Using data to support clinical decision-making in CD  (risa and upa) (v2.0)	RISN-AA-00436-FM	Crohns Disease (CD)
2686466	13	FutureIBD 2023 Workshop F: Using data to support clinical decision-making in CD  (risa and upa) (v2.0)	RISN-AA-00436-FM	Crohns Disease (CD)
2686466	9	FutureIBD 2023 Workshop F: Using data to support clinical decision-making in CD  (risa and upa) (v2.0)	RISN-AA-00436-FM	Crohns Disease (CD)
