local_document	document_number	document_name	product	disease_state	num_pages	unique_local_page_count	reuse_p
1520261	BCL2-US-00282-FM	P_VIALE-T (M19-063) Protocol Overview (v6.0)	Venclexta	Acute Myeloid Leukemia (AML)	71	52	73.23943661971832
1544780	BCL2-US-00285-FM	R_VIALE-T (M19-063) FAQ (v5.0)	Venclexta	Acute Myeloid Leukemia (AML)	54	24	44.44444444444444
1629593	JAKa-US-00437-FM	P_UPA RA, PsA, AD,UC, AS, nr-axSpA, and CD Medical Indications and Important Safety Considerations (v6.0)	Upadacitinib	Ankylosing Spondylitis (AS), Atopic Dermatitis (AD), Crohns Disease (CD), Non-radiographic Axial Spondyloarthropathy (nrAxSpA), Psoriatic Arthritis (PsA), Rheumatoid Arthritis (RA), Ulcerative Colitis (UC)	3	1	33.33333333333333
1649811	ABBV-US-00631-FM	P_Raising Awareness of Diseases in the Workforce_FINAL APPROVED_05-02-23 (v2.0)	AbbVie	Acute Treatment of Migraine, Atopic Dermatitis (AD), Bipolar Disorder, Chronic Migraine (CM), Crohns Disease (CD), Disease-state (US CRM), Endometriosis, Episodic Migraine, Fibroids, Immunology Cross-TA, Inflammatory Bowel Disease (IBD), Migraine, No Disease State, Prevention of Migraine, Rheumatoid Arthritis (RA), Ulcerative Colitis (UC)	240	7	2.9166666666666665
1681289	RISN-US-00262-FM	R_Skyrizi Reactive Deck MOSL (v5.0)	Risankizumab	Crohns Disease (CD), Psoriasis (Ps), Psoriatic Arthritis (PsA)	137	8	5.839416058394161
1701274	RISN-US-00264-FM	P_RZB CD Clinical Trial Overview Four-Pager (v1.0)	Risankizumab	Crohns Disease (CD)	3	1	33.33333333333333
1734068	RISN-US-00268-FM	REACTIVE_RZB CD IMA (v2.0)	Risankizumab	Crohns Disease (CD)	41	26	63.41463414634146
1789974	RISN-US-00284-FM	P_SKYRIZI CD Short Clinical_MOSL (v5.0)	Risankizumab	Crohns Disease (CD)	33	2	6.0606060606060606
1814196	RISN-US-00289-FM	R_RZB CD IMA_For GMI Use Only (v4.0)	Risankizumab	Crohns Disease (CD)	98	31	31.63265306122449
2046316	RISN-US-00319-FM	UEGW_RZB-CD # Prior Failed Biologics (v2.0)	Risankizumab	Crohns Disease (CD)	11	2	18.181818181818183
2245565	BCL2-US-00328-FM	REVENG (M20-356) STV Deck 2024 (v5.0)	Venclexta	Chronic Lymphocytic Leukemia (CLL)	45	44	97.77777777777777
2273170	RISN-US-00344-FM	Proactive_RZB CD OBI Real Life Handling Study (AIBD 2022) (v2.0)	Risankizumab	Crohns Disease (CD)	1	1	100.0
2370229	BCL2-US-00334-FM	P_M20-356 (ReVenG) Study Fact Sheet - For Potential Investigators and TAP (v6.0)	Venclexta	Chronic Lymphocytic Leukemia (CLL)	1	1	100.0
2537803	RISN-US-00355-FM	ECCO 2023_RZB-CD Clinical Response Over 24 Weeks (v1.0)	Risankizumab	Crohns Disease (CD)	1	1	100.0
2661343	BCL2-US-00347-FM	P_Ven CLL and AML Clinical Overview and Dosing Deck MOSL (v2.0)	Venclexta	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL)	49	30	61.224489795918366
2776576	BCL2-US-00353-FM	P_VialeT (M19-063) Part One Data Updates 2023 For Investigators Only (v1.0)	Venclexta	Acute Myeloid Leukemia (AML)	14	12	85.71428571428571
2827556	JAKa-US-00565-FM	P-UPA Cross Indication Safety IMA Module (v2.0)	Upadacitinib	Ankylosing Spondylitis (AS), Atopic Dermatitis (AD), Crohns Disease (CD), Non-radiographic Axial Spondyloarthropathy (nrAxSpA), Psoriatic Arthritis (PsA), Rheumatoid Arthritis (RA), Ulcerative Colitis (UC)	6	2	33.33333333333333
