global_document	document_number	document_name	product	disease_state	num_pages	unique_global_page_count	reuse_p
1014224	BCL2-AA-00074-FM	Prevention of TLS with Venetoclax in CLL (v9.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	42	30	71.42857142857143
1026914	BCL2-AA-00075-FM	COVID-19 in patients with Hematologic malignancies - Reactive CLL Deck (v5.0)	Venclyxto	Acute Myeloid Leukemia (AML), Chronic Lymphocytic Leukemia (CLL)	143	4	2.797202797202797
1029618	BCL2-AA-00077-FM	AML Disease State & Treatment Landscape (v4.0)	Venclyxto	Acute Myeloid Leukemia (AML)	40	30	75.0
1059225	BCL2-AA-00078-FM	Clonal Evolution Background (v1.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	30	1	3.3333333333333335
1059227	BCL2-AA-00079-FM	Targeting Clonal Evolution (v2.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	31	2	6.451612903225806
1081211	BCL2-AA-00080-FM	AML VIALE-A, VIALE-C, M14-358 One-Page Summaries (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML)	11	7	63.63636363636363
1087234	BCL2-AA-00082-FM	Venetoclax Regimens in Patients with High Risk CLL (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	50	20	40.0
1140512	BCL2-AA-00083-FM	Venetoclax Initiation and Dosing Brochure (CLL) (v5.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	6	5	83.33333333333334
1140674	BCL2-AA-00084-FM	Venetoclax in R/R AML (Reactive) (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML)	37	5	13.513513513513514
1141698	BCL2-AA-00085-FM	AML Reactive Library_Korea (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	723	88	12.171507607192254
1148810	BCL2-AA-00089-FM	External Field-Medical Reactive Lemzo Deck (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML), Multiple Myeloma (MM), Myelodysplastic Syndrome (MDS)	42	1	2.380952380952381
1194022	BCL2-AA-00093-FM	Managing Potential Drug-Drug Interactions with Venetoclax (Interactive PDF) (v4.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	18	2	11.11111111111111
1208132	BCL2-AA-00106-FM	Practical Considerations for Developing a Venetoclax Initiation Protocol (Print/Electronic format) (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	12	4	33.33333333333333
1242807	RISN-AA-00172-FM	IL-23 MDT slide deck (v2.0)	Risankizumab	Crohns Disease (CD)	33	2	6.0606060606060606
1263527	BCL2-AA-00115-FM	MURANO Safety Data Visualizations (v2.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	19	17	89.47368421052632
1317584	BCL2-AA-00119-FM	GLOW Study Core Deck (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	47	6	12.76595744680851
1359994	BCL2-AA-00123-FM	VIALE-M Protocol Training Slides (v2.0)	Venclyxto	Acute Myeloid Leukemia (AML), Hematologic Malignancies	53	12	22.641509433962266
1430479	BCL2-AA-00125-FM	Venetoclax MRD/CLL Narrative FAQs (v3.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	74	22	29.72972972972973
1441583	BCL2-AA-00126-FM	ASH 2021 AML Highlights Deck (v1.0)	Venclyxto	Acute Myeloid Leukemia (AML)	88	6	6.8181818181818175
1500313	BCL2-AA-00127-FM	CLL13 Reactive Core Deck (v14.0)	Venclyxto	Chronic Lymphocytic Leukemia (CLL)	121	5	4.132231404958678
