local_document	local_page	document_name	document_number	disease_state
2904298	3	R - Epcoritamab Frequently Asked Questions (FAQ) (v11.0)	EPCO-US-00076-FM	DLBCL
2904298	16	R - Epcoritamab Frequently Asked Questions (FAQ) (v11.0)	EPCO-US-00076-FM	DLBCL
2904298	27	R - Epcoritamab Frequently Asked Questions (FAQ) (v11.0)	EPCO-US-00076-FM	DLBCL
2904298	1	R - Epcoritamab Frequently Asked Questions (FAQ) (v11.0)	EPCO-US-00076-FM	DLBCL
5742959	17	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	18	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	28	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	21	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	31	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	3	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
5742959	20	P-Epcoritamab Dosing and Administration (v1.0)	EPCO-US-00137-FM	DLBCL, Follicular Lymphoma
3660341	69	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	55	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	76	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	75	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	23	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	26	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	38	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	35	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
3660341	45	P - M23-362 MSL STV Deck Protocol v3.0 (v2.0)	EPCO-US-00098-FM	DLBCL, Follicular Lymphoma
